x	y	dx	dy
-1.396263402	1.166	0.0994	 0.03 
-1.221730476	1.09	0.0994	 0.03 
-1.047197551	1.1	0.0994	 0.03 
-0.872664626	1	0.0994	 0.03 
-0.698131701	1.066	0.0994	 0.03 
-0.523598776	0.966	0.0994	 0.03 
-0.34906585	1.035	0.0994	 0.03 
-0.174532925	0.967	0.0994	 0.03 
0.174532925	1.034	0.0994	 0.03 
0.34906585	1	0.0994	 0.03 
0.523598776	1	0.0994	 0.03 
0.698131701	1.067	0.0994	 0.03 
0.872664626	1.033	0.0994	 0.03 
1.047197551	1.1	0.0994	 0.03 
1.221730476	0.999	0.0994	 0.03 
1.396263402	1.134	0.0994	 0.03 
