x	y	dx	dy	
-1.396263402	1.134	0.0994	0.03
-1.221730476	1.102	0.0994	0.03
-1.047197551	1.069	0.0994	0.03
-0.872664626	1.058	0.0994	0.03
-0.698131701	1.034	0.0994	0.03
-0.523598776	1.031	0.0994	0.03
-0.34906585	1.019	0.0994	0.03
-0.174532925	1.015	0.0994	0.03
0.174532925	1.009	0.0994	0.03
0.34906585	1.01	0.0994	0.03
0.523598776	1.027	0.0994	0.03
0.698131701	1.038	0.0994	0.03
0.872664626	1.057	0.0994	0.03
1.047197551	1.06	0.0994	0.03
1.221730476	1.107	0.0994	0.03
1.396263402	1.136	0.0994	0.03
